response,cv,region,identity,experience,date,ssyk1,vacancy,sent,ssyk
"",3,Stockholm,1,1,2018-03-26,3,1612,2018-03-27,3512
"",1,Stockholm,3,2,2018-03-22,3,1288,2018-03-22,3212
"",3,Stockholm,2,1,2018-03-22,3,1288,2018-03-23,3212
"",2,Stockholm,1,3,2018-03-22,3,1288,2018-03-25,3212
Ja,3,Stockholm,4,3,2018-10-03,3,73,2018-10-02,3322
Ja,1,Stockholm,1,2,2018-10-03,3,73,2018-10-03,3322
"",2,Stockholm,3,1,2018-10-03,3,73,2018-10-04,3322
"",2,Stockholm,3,3,2018-03-22,4,3068,2018-03-22,4224
"",1,Stockholm,4,2,2018-03-22,4,3068,2018-03-23,4224
"",3,Stockholm,1,1,2018-03-22,4,3068,2018-03-25,4224
